symbol,name,headQuarter,dateFirstAdded,cik,founded
SIRI.US,Sirius XM,"New York, NY",,0000908937,2008-07-29
SNPS.US,Synopsys,"Mountain View, CA",,0000883241,1986-01-01
TEAM.US,Atlassian,"Sydney, NSW",,0001650372,2002-01-01
TMUS.US,T-Mobile US,"Bellevue, WA",,0001283699,2001-09-02
TSLA.US,"Tesla, Inc.","Austin, TX",,0001318605,2003-07-01
TXN.US,Texas Instruments,"Dallas, TX",,0000097476,1930-01-01
VRSK.US,Verisk,"Jersey City, NJ",,0001442145,1971-01-01
VRTX.US,Vertex Pharmaceuticals,"Boston, MA",,0000875320,1989-01-01
WBA.US,Walgreens Boots Alliance,"Deerfield, IL",,0001618921,2014-12-31
WBD.US,Warner Bros. Discovery,"New York, NY",,0001437107,2022-04-08
WDAY.US,"Workday, Inc.","Pleasanton, CA",,0001327811,2005-03-01
XEL.US,Xcel Energy,"Minneapolis, MN",,0000072903,1909-06-17
ZM.US,Zoom Video Communications,"San Jose, CA",,0001585521,2011-04-21
ZS.US,Zscaler,"San Jose, CA",,0001713683,2007-01-01
